菜名	上架时间	上架时间	类别	价格	图片	赠品	每餐供应/份
青花碗双豆	单周	周一	家常菜	22	qinghuawanshuangdou.jpg	时蔬	10
养生三宝烩	单周	周一	特色菜	35	yangshengsanbaohui.jpg	时蔬	10
小灶煎豆腐	双周	周一	家常菜	20	xiaozaojiandoufu.jpg	时蔬	10
小灶烩三白	双周	周一	特色菜	35	xiaozaohuisanbai.jpg	时蔬	10
干豆角烧肉	单周	周二	家常菜	26	gandoujiaoshaorou.jpg	时蔬	10
珍珠虾仁丸	单周	周二	特色菜	29	zhenzhuxiarenwan.jpg	时蔬	10
小灶小炒肉	双周	周二	家常菜	22	xiaozaoxiaochaorou.jpg	时蔬	10
鄂味粉蒸肉	双周	周二	特色菜	29	eweifenzhengrou.jpg	时蔬	10
川香麻豆腐	单周	周三	家常菜	20	chuanxiangmadoufu.jpg	时蔬	10
小灶炖牛腩	单周	周三	特色菜	29	xiaozaodunniunan.jpg	时蔬	10
川麻烩鱼块	双周	周三	家常菜	26	chuanmahuiyukuai.jpg	时蔬	10
香麻锅牛肉	双周	周三	特色菜	29	xiangmaguoniurou.jpg	时蔬	10
小灶油茄子	单周	周四	家常菜	20	xiaozaoyouqiezi.jpg	时蔬	10
秘酱烧排骨	单周	周四	特色菜	29	mijiangshaopaigu.jpg	时蔬	10
河鱼香肉丝	双周	周四	家常菜	22	heyuxiangrousi.jpg	时蔬	10
秘酱烧鸡块	双周	周四	特色菜	28	mijiangshaojikuai.jpg	时蔬	10
香辣溜肉片	单周	周五	家常菜	22	xianglaliuroupian.jpg	时蔬	10
百年香卤鸭	单周	周五	特色菜	28	bainianxiangluya.jpg	时蔬	10
小灶回锅肉	双周	周五	家常菜	26	xiaozaohuiguorou.jpg	时蔬	10
茶树菇牛柳	双周	周五	特色菜	29	chashuguniuliu.jpg	时蔬	10
