nohup: ignoring input
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
218.30.116.7 - - [04/Jun/2015 09:26:15] "GET /list_item?category=backpack HTTP/1.1" 200 -
218.30.116.4 - - [04/Jun/2015 09:26:15] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
218.30.116.3 - - [04/Jun/2015 09:26:15] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 -
218.30.116.4 - - [04/Jun/2015 09:26:15] "GET /static/img/thumbs/square/b19f288ee767beb990be86ff5525889a4b8ff60d.jpg HTTP/1.1" 304 -
218.30.116.8 - - [04/Jun/2015 09:26:16] "GET /static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
218.30.116.7 - - [04/Jun/2015 09:26:16] "GET /static/img/thumbs/square/a539475eed2bf592efca312154ad378611303394.jpg HTTP/1.1" 304 -
218.30.116.3 - - [04/Jun/2015 09:26:16] "GET /static/img/thumbs/square/2e08c5f7d2e9e8ae3c5fdf759b42dbf680c9e84a.jpg HTTP/1.1" 304 -
218.30.116.7 - - [04/Jun/2015 09:26:16] "GET /static/img/thumbs/square/5096ac29fb3e75a9351145aafe4f6a374c07630c.jpg HTTP/1.1" 304 -
218.30.116.9 - - [04/Jun/2015 09:26:16] "GET /static/img/thumbs/square/c521cc1d7a4d2ef48c667dd3cb30dff846c3c650.jpg HTTP/1.1" 304 -
218.30.116.9 - - [04/Jun/2015 09:26:16] "GET /static/img/thumbs/square/b5b1fbf166803b8eb58bb4d37d4561aeafbb99a3.jpg HTTP/1.1" 304 -
218.30.116.4 - - [04/Jun/2015 09:26:16] "GET /static/img/thumbs/square/0ec9d553117bd8144da483d48efc0f038796630f.jpg HTTP/1.1" 304 -
218.30.116.4 - - [04/Jun/2015 09:26:16] "GET /static/img/thumbs/square/66e6583735420589f46491f063933f8b1921b2b0.jpg HTTP/1.1" 304 -
218.30.116.3 - - [04/Jun/2015 09:26:17] "GET /static/img/thumbs/square/d3065cc8ffd82bf9d7b9f5093e8199fd4b69580a.jpg HTTP/1.1" 304 -
218.30.116.4 - - [04/Jun/2015 09:26:17] "GET /static/img/thumbs/square/63828bb656708bdf93b52856d1f836dbb5a49d37.jpg HTTP/1.1" 304 -
